source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[nanoparticles]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[nanoparticles]	factor value[spiked compound]
PXD017052-Sample 23	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100	1	SP-374	run 67	proteomic profiling by mass spectrometer	EXP19003_X1610_A_MSB38067A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1610_A_MSB38067A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100
PXD017052-Sample 23	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100	1	SP-374	run 68	proteomic profiling by mass spectrometer	EXP19003_X1611_A_MSB38068A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1611_A_MSB38068A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100
PXD017052-Sample 23	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100	1	SP-374	run 69	proteomic profiling by mass spectrometer	EXP19003_X1612_A_MSB38069A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1612_A_MSB38069A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100
PXD017052-Sample 24	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10	1	SP-374	run 70	proteomic profiling by mass spectrometer	EXP19003_X1613_A_MSB38070A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1613_A_MSB38070A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10
PXD017052-Sample 24	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10	1	SP-374	run 71	proteomic profiling by mass spectrometer	EXP19003_X1614_A_MSB38071A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1614_A_MSB38071A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10
PXD017052-Sample 24	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10	1	SP-374	run 72	proteomic profiling by mass spectrometer	EXP19003_X1615_A_MSB38072A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1615_A_MSB38072A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10
PXD017052-Sample 25	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5	1	SP-374	run 73	proteomic profiling by mass spectrometer	EXP19003_X1616_A_MSB38073A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1616_A_MSB38073A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5
PXD017052-Sample 25	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5	1	SP-374	run 74	proteomic profiling by mass spectrometer	EXP19003_X1617_A_MSB38074A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1617_A_MSB38074A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5
PXD017052-Sample 25	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5	1	SP-374	run 75	proteomic profiling by mass spectrometer	EXP19003_X1618_A_MSB38075A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1618_A_MSB38075A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5
PXD017052-Sample 26	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2	1	SP-374	run 76	proteomic profiling by mass spectrometer	EXP19003_X1619_A_MSB38076A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1619_A_MSB38076A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2
PXD017052-Sample 26	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2	1	SP-374	run 77	proteomic profiling by mass spectrometer	EXP19003_X1620_A_MSB38077A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1620_A_MSB38077A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2
PXD017052-Sample 26	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2	1	SP-374	run 78	proteomic profiling by mass spectrometer	EXP19003_X1621_A_MSB38078A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1621_A_MSB38078A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2
PXD017052-Sample 27	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	NoSpike	1	SP-006	run 79	proteomic profiling by mass spectrometer	EXP19003_X1622_A_MSB38079A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1622_A_MSB38079A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	NoSpike
PXD017052-Sample 27	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	NoSpike	1	SP-006	run 80	proteomic profiling by mass spectrometer	EXP19003_X1623_A_MSB38080A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1623_A_MSB38080A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	NoSpike
PXD017052-Sample 27	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	NoSpike	1	SP-006	run 81	proteomic profiling by mass spectrometer	EXP19003_X1624_A_MSB38081A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1624_A_MSB38081A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	NoSpike
PXD017052-Sample 28	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	Control	1	SP-006	run 82	proteomic profiling by mass spectrometer	EXP19003_X1625_A_MSB38082A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1625_A_MSB38082A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	Control
PXD017052-Sample 28	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	Control	1	SP-006	run 83	proteomic profiling by mass spectrometer	EXP19003_X1626_A_MSB38083A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1626_A_MSB38083A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	Control
PXD017052-Sample 28	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	Control	1	SP-006	run 84	proteomic profiling by mass spectrometer	EXP19003_X1627_A_MSB38084A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1627_A_MSB38084A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	Control
PXD017052-Sample 29	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100	1	SP-006	run 85	proteomic profiling by mass spectrometer	EXP19003_X1628_A_MSB38085A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1628_A_MSB38085A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100
PXD017052-Sample 29	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100	1	SP-006	run 86	proteomic profiling by mass spectrometer	EXP19003_X1629_A_MSB38086A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1629_A_MSB38086A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100
PXD017052-Sample 29	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100	1	SP-006	run 87	proteomic profiling by mass spectrometer	EXP19003_X1630_A_MSB38087A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1630_A_MSB38087A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100
PXD017052-Sample 30	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10	1	SP-006	run 88	proteomic profiling by mass spectrometer	EXP19003_X1631_A_MSB38088A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1631_A_MSB38088A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10
PXD017052-Sample 30	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10	1	SP-006	run 89	proteomic profiling by mass spectrometer	EXP19003_X1632_A_MSB38089A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1632_A_MSB38089A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10
PXD017052-Sample 30	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10	1	SP-006	run 90	proteomic profiling by mass spectrometer	EXP19003_X1633_A_MSB38090A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1633_A_MSB38090A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10
PXD017052-Sample 31	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5	1	SP-006	run 91	proteomic profiling by mass spectrometer	EXP19003_X1634_A_MSB38091A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1634_A_MSB38091A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5
PXD017052-Sample 31	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5	1	SP-006	run 92	proteomic profiling by mass spectrometer	EXP19003_X1635_A_MSB38092A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1635_A_MSB38092A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5
PXD017052-Sample 31	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5	1	SP-006	run 93	proteomic profiling by mass spectrometer	EXP19003_X1636_A_MSB38093A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1636_A_MSB38093A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5
PXD017052-Sample 32	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2	1	SP-006	run 94	proteomic profiling by mass spectrometer	EXP19003_X1637_A_MSB38094A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1637_A_MSB38094A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2
PXD017052-Sample 32	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2	1	SP-006	run 95	proteomic profiling by mass spectrometer	EXP19003_X1638_A_MSB38095A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1638_A_MSB38095A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2
PXD017052-Sample 32	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2	1	SP-006	run 96	proteomic profiling by mass spectrometer	EXP19003_X1639_A_MSB38096A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1639_A_MSB38096A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-006	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2
PXD017052-Sample 33	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	NoSpike	1	SP-007	run 97	proteomic profiling by mass spectrometer	EXP19003_X1640_A_MSB38097A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1640_A_MSB38097A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	NoSpike
